№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Сальдо;Каталог
139;г. Новосибирск;г. Новосибирск, ул. Серебренниковская, д. 20;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
5;г. Воронеж;г. Воронеж, ул. 9 Января, д.28;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
8;г. Воронеж;г. Воронеж, ул. 9 Января, д.68;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
10;г. Йошкар-Ола;г. Йошкар-Ола, ул. Карла Маркса, д.109б;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
11;г. Мурманск;г. Мурманск, пр-т Ленина, д.37;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
14;г. Пермь;г. Пермь, ул. Куйбышева, д.66/1;01.01.2021;;;7;UTC+5;1;1;0;0;0;РРЭ
15;г. Пермь;г. Пермь, ул. Сибирская, д.48/1;01.01.2021;;;7;UTC+5;1;1;0;0;0;РРЭ
16;г. Пермь;г. Пермь, ш. Космонавтов, д.349;01.01.2021;;;7;UTC+5;1;1;0;0;0;РРЭ
27;г. Казань;г. Казань, ул. Бутлерова, д. 44;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
59;г. Белгород;г. Белгород, пр. Гражданский, д.52;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
65;г. Екатеринбург;г. Екатеринбург, ул. Кислородная, д.8;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
75;г. Пенза;г. Пенза, ул. Суворова, д.81;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
80;г. Ростов-на-Дону;г. Ростов-на-Дону, пер. Братский, д.41;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
82;г. Самара;г. Самара, пр-т Ленина, д.17;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
83;г. Самара;г. Самара, ул. Ново-Садовая, д.305;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
140;г. Ростов-на-Дону;г. Ростов-на-Дону, ул. Евдокимова, д.37;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
141;г. Тольятти;г. Тольятти, ул. Юбилейная, д.55;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
;г. Калуга;г. Калуга, ул. Кирова, д.21а;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
;г. Красноярск;г. Красноярск, ул. Телевизорная, д.1, стр.15;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
1;г. Нижний Новгород;г. Нижний Новгород, ул. Академика Сахарова, д.2;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
2;г. Волгоград;г. Волгоград, пр-т им. Героев Сталинграда, д.50;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
4;г. Волжский;г. Волжский, ул. Мира, д.71;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
6;г. Воронеж;г. Воронеж, ул. 9 Января, д.302а;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
