№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
;;ул. Профсоюзная, д.43, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Профсоюзная, д.115, к.1 (Доп. офис №7813/1466);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Профсоюзная, д.128, к.2 (Доп. офис №7813/1323);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Серафимовича, д. 2 (Доп. офис №7813/105);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Тарусская, д.18, к.1 (Доп. офис №7813/1396);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Фруктовая, д.20 (Доп. офис №7813/1066);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Херсонская, д.39 (Доп. офис №7813/1077);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Цюрупы, д.13 (Доп. офис №7813/1045);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Шаболовка, д.20;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 249;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 315;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 445;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 514 (Доп. офис №7954/01131);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 601;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 812;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 828;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1004 ( Доп. офис №7954/01389);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1106;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1204;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1403-а;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1403-а;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1462 (Доп. офис №7954/01541);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1561б;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1640;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, корп. 1812;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г.Зеленоград, Савелкинский проезд, д.6;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Гоголевский, д.19/2 (Доп.офис №5278/022);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Новинский, д.1/2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Новинский, д.14 (Доп.офис №5278/0759);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Осенний, д.15;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Осенний, д.23 (Доп.офис №5278/0759);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Славянский, д.3 (Доп.офис №5278/01219);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Славянский, д.15/1 модем вынесен (Доп.офис №5278/01129);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Филевский, д.1 (Доп.офис №5278/0787);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;наб. Бережковская, д.8;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. Проточный, д.11;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Кутузовский, д.9;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Кутузовский, д.27/1 (Доп.офис №5278/0260);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Кутузовский, д.30;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Кутузовский, д.71 стр.1 (Доп.офис №5278/01622);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. 2-я Новорублевская, д.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Аминьевское шоссе, д.16 (Доп.офис №5278/0860);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Арбат, д.30/3, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Б.Дорогомиловская, д.10;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Багрицкого, д.1 стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Барвихинская, д.8 стр.1 (Доп.офис №5278/01311);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Барклая, д.16 к.1 (Доп.офис №5278/0735);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Беловежская, д.1 к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Большая Филевская, д.57, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Брянская, д.8;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Витебская, д.3 к.1 (Доп.офис №5278/01644);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Генерала Ермолова, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Горбунова, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Гришина, д.23 к.5 (Доп.офис №5278/01348);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Ивана Франко, д.38, к.1(Доп.офис №5278/0867);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Кастанаевская, д.24;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Кастанаевская, д.42, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Крылатская, д.31, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Крылатские холмы, д.7, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Крылатские холмы, д.32, к.2 (Доп.офис №5278/01504);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Кунцевская, д.10/18;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Кутузова, д.11, к.4;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Малая Филевская, д.66, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Маршала Тимошенко, д.44 (Доп.офис №5278/0868);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Минская, д.22;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Новый Арбат, д.30/9;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Оршанская, д.9;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Полоцкая, д.14/15, стр.1 (Доп.офис №5278/0864);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Раевского, д.4, стр.1А;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Толбухина, д.8 к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ш. Можайское, д.4 к.1 (Доп.офис №5278/01685);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
