№;P+, кВт;R+, кВар;Время;Дата
318;0.6360;0.0770;15:00;07.09.2019
319;0.6280;0.0790;15:30;07.09.2019
320;0.6220;0.0760;16:00;07.09.2019
321;0.6330;0.0830;16:30;07.09.2019
322;0.5980;0.0770;17:00;07.09.2019
323;0.6010;0.0770;17:30;07.09.2019
324;0.5760;0.0660;18:00;07.09.2019
325;0.5070;0.0490;18:30;07.09.2019
326;0.5090;0.0500;19:00;07.09.2019
327;0.4990;0.0410;19:30;07.09.2019
328;0.4860;0.0270;20:00;07.09.2019
329;0.5180;0.0400;20:30;07.09.2019
330;0.5230;0.0590;21:00;07.09.2019
331;0.5290;0.0370;21:30;07.09.2019
332;0.5480;0.0470;22:00;07.09.2019
333;0.5460;0.0540;22:30;07.09.2019
334;0.4970;0.0450;23:00;07.09.2019
335;0.5260;0.0540;23:30;07.09.2019
336;0.5400;0.0600;00:00;08.09.2019
337;0.5600;0.0630;00:30;08.09.2019
338;0.5290;0.0630;01:00;08.09.2019
339;0.5550;0.0550;01:30;08.09.2019
340;0.5370;0.0570;02:00;08.09.2019
341;0.5360;0.0620;02:30;08.09.2019
342;0.5290;0.0540;03:00;08.09.2019
343;0.5360;0.0650;03:30;08.09.2019
344;0.5330;0.0590;04:00;08.09.2019
345;0.5070;0.0530;04:30;08.09.2019
346;0.4910;0.0510;05:00;08.09.2019
347;0.5220;0.0520;05:30;08.09.2019
348;0.5130;0.0500;06:00;08.09.2019
349;0.4740;0.0470;06:30;08.09.2019
350;0.4400;0.0440;07:00;08.09.2019
351;0.4360;0.0460;07:30;08.09.2019
352;0.4340;0.0430;08:00;08.09.2019
353;0.4420;0.0430;08:30;08.09.2019
354;0.4890;0.0430;09:00;08.09.2019
355;0.5530;0.0490;09:30;08.09.2019
356;0.5260;0.0490;10:00;08.09.2019
357;0.5300;0.0530;10:30;08.09.2019
358;0.5300;0.0480;11:00;08.09.2019
359;0.5150;0.0500;11:30;08.09.2019
360;0.5260;0.0410;12:00;08.09.2019
361;0.4970;0.0410;12:30;08.09.2019
362;0.5350;0.0490;13:00;08.09.2019
363;0.5350;0.0520;13:30;08.09.2019
364;0.5370;0.0410;14:00;08.09.2019
365;0.5330;0.0400;14:30;08.09.2019
366;0.5430;0.0490;15:00;08.09.2019
367;0.5230;0.0500;15:30;08.09.2019
368;0.5200;0.0530;16:00;08.09.2019
369;0.5000;0.0480;16:30;08.09.2019
370;0.4590;0.0300;17:00;08.09.2019
371;0.4550;0.0210;17:30;08.09.2019
372;0.4510;0.0290;18:00;08.09.2019
373;0.4270;0.0290;18:30;08.09.2019
374;0.4240;0.0160;19:00;08.09.2019
375;0.4290;0.0370;19:30;08.09.2019
376;0.4240;0.0330;20:00;08.09.2019
377;0.4170;0.0310;20:30;08.09.2019
378;0.4640;0.0410;21:00;08.09.2019
379;0.5090;0.0470;21:30;08.09.2019
380;0.5260;0.0570;22:00;08.09.2019
381;0.4850;0.0450;22:30;08.09.2019
382;0.5580;0.0660;23:00;08.09.2019
383;0.5340;0.0550;23:30;08.09.2019
384;0.5320;0.0540;00:00;09.09.2019
385;0.5060;0.0500;00:30;09.09.2019
386;0.4770;0.0480;01:00;09.09.2019
387;0.5010;0.0410;01:30;09.09.2019
388;0.5400;0.0470;02:00;09.09.2019
389;0.4900;0.0440;02:30;09.09.2019
390;0.5020;0.0500;03:00;09.09.2019
391;0.5060;0.0510;03:30;09.09.2019
392;0.4970;0.0480;04:00;09.09.2019
393;0.4960;0.0490;04:30;09.09.2019
394;0.5180;0.0480;05:00;09.09.2019
395;0.5080;0.0500;05:30;09.09.2019
396;0.4860;0.0500;06:00;09.09.2019
397;0.4410;0.0430;06:30;09.09.2019
398;0.4360;0.0410;07:00;09.09.2019
399;0.4680;0.0280;07:30;09.09.2019
400;0.5010;0.0190;08:00;09.09.2019
401;0.5550;0.0270;08:30;09.09.2019
402;0.5910;0.0550;09:00;09.09.2019
403;0.5850;0.0560;09:30;09.09.2019
404;0.6230;0.0750;10:00;09.09.2019
405;0.6540;0.0770;10:30;09.09.2019
406;0.6430;0.0710;11:00;09.09.2019
407;0.6940;0.0750;11:30;09.09.2019
408;0.6760;0.0680;12:00;09.09.2019
409;0.6360;0.0640;12:30;09.09.2019
410;0.6400;0.0600;13:00;09.09.2019
411;0.6690;0.0710;13:30;09.09.2019
412;0.7100;0.0830;14:00;09.09.2019
413;0.7560;0.1000;14:30;09.09.2019
414;0.7530;0.1120;15:00;09.09.2019
415;0.7060;0.0970;15:30;09.09.2019
