№;P+, кВт;Время;Дата
475;0.2410;21:30;10.03.2019
476;0.2300;22:00;10.03.2019
477;0.2410;22:30;10.03.2019
478;0.2220;23:00;10.03.2019
479;0.2300;23:30;10.03.2019
480;0.2030;00:00;11.03.2019
481;0.1970;00:30;11.03.2019
482;0.1990;01:00;11.03.2019
483;0.1910;01:30;11.03.2019
484;0.1880;02:00;11.03.2019
485;0.1840;02:30;11.03.2019
486;0.1880;03:00;11.03.2019
487;0.1880;03:30;11.03.2019
488;0.1850;04:00;11.03.2019
489;0.1850;04:30;11.03.2019
490;0.1780;05:00;11.03.2019
491;0.1820;05:30;11.03.2019
492;0.1810;06:00;11.03.2019
493;0.2640;06:30;11.03.2019
494;0.4990;07:00;11.03.2019
495;0.5300;07:30;11.03.2019
496;0.4440;08:00;11.03.2019
497;0.4550;08:30;11.03.2019
498;0.4650;09:00;11.03.2019
499;0.5020;09:30;11.03.2019
500;0.5310;10:00;11.03.2019
501;0.5800;10:30;11.03.2019
502;0.5260;11:00;11.03.2019
503;0.5070;11:30;11.03.2019
504;0.5070;12:00;11.03.2019
505;0.5320;12:30;11.03.2019
506;0.5150;13:00;11.03.2019
507;0.5490;13:30;11.03.2019
508;0.5360;14:00;11.03.2019
509;0.5170;14:30;11.03.2019
510;0.5100;15:00;11.03.2019
511;0.4190;15:30;11.03.2019
512;0.3390;16:00;11.03.2019
513;0.3440;16:30;11.03.2019
514;0.3690;17:00;11.03.2019
515;0.3120;17:30;11.03.2019
516;0.2900;18:00;11.03.2019
517;0.2650;18:30;11.03.2019
518;0.2860;19:00;11.03.2019
519;0.2800;19:30;11.03.2019
520;0.2750;20:00;11.03.2019
521;0.2500;20:30;11.03.2019
522;0.2880;21:00;11.03.2019
523;0.2560;21:30;11.03.2019
524;0.2630;22:00;11.03.2019
525;0.2310;22:30;11.03.2019
526;0.2190;23:00;11.03.2019
527;0.2310;23:30;11.03.2019
528;0.2120;00:00;12.03.2019
529;0.1870;00:30;12.03.2019
530;0.1860;01:00;12.03.2019
531;0.1900;01:30;12.03.2019
532;0.1850;02:00;12.03.2019
533;0.1860;02:30;12.03.2019
534;0.1830;03:00;12.03.2019
535;0.1820;03:30;12.03.2019
536;0.1830;04:00;12.03.2019
537;0.1800;04:30;12.03.2019
538;0.1790;05:00;12.03.2019
539;0.1790;05:30;12.03.2019
540;0.1800;06:00;12.03.2019
541;0.2630;06:30;12.03.2019
542;0.4780;07:00;12.03.2019
543;0.5160;07:30;12.03.2019
544;0.4900;08:00;12.03.2019
545;0.4400;08:30;12.03.2019
546;0.4700;09:00;12.03.2019
547;0.5230;09:30;12.03.2019
548;0.5230;10:00;12.03.2019
549;0.5540;10:30;12.03.2019
550;0.5240;11:00;12.03.2019
551;0.4390;11:30;12.03.2019
552;0.4470;12:00;12.03.2019
553;0.5060;12:30;12.03.2019
554;0.4960;13:00;12.03.2019
555;0.4830;13:30;12.03.2019
556;0.5070;14:00;12.03.2019
557;0.4700;14:30;12.03.2019
558;0.4670;15:00;12.03.2019
559;0.4310;15:30;12.03.2019
560;0.3750;16:00;12.03.2019
