n;P+;R+;Time;Date;;;;;;;;;
460;0,29;0;14:00;10.12.2019;;;;;;;;;
461;0,291;0;14:30;10.12.2019;;;;;;;;;
462;0,275;0;15:00;10.12.2019;;;;;;;;;
463;0,252;0;15:30;10.12.2019;;;;;;;;;
464;0,256;0;16:00;10.12.2019;;;;;;;;;
465;0,251;0;16:30;10.12.2019;;;;;;;;;
466;0,248;0;17:00;10.12.2019;;;;;;;;;
467;0,242;0;17:30;10.12.2019;;;;;;;;;
468;0,229;0;18:00;10.12.2019;;;;;;;;;
469;0,223;0;18:30;10.12.2019;;;;;;;;;
470;0,216;0;19:00;10.12.2019;;;;;;;;;
471;0,208;0;19:30;10.12.2019;;;;;;;;;
472;0,199;0;20:00;10.12.2019;;;;;;;;;
473;0,195;0;20:30;10.12.2019;;;;;;;;;
474;0,187;0;21:00;10.12.2019;;;;;;;;;
475;0,182;0;21:30;10.12.2019;;;;;;;;;
476;0,17;0;22:00;10.12.2019;;;;;;;;;
477;0,173;0;22:30;10.12.2019;;;;;;;;;
478;0,169;0;23:00;10.12.2019;;;;;;;;;
479;0,165;0;23:30;10.12.2019;;;;;;;;;
480;0,164;0;00:00;10.12.2019;;;;;;;;;
481;0,162;0;00:30;11.12.2019;;;;;;;;;
482;0,162;0;01:00;11.12.2019;;;;;;;;;
483;0,162;0;01:30;11.12.2019;;;;;;;;;
484;0,161;0;02:00;11.12.2019;;;;;;;;;
485;0,16;0;02:30;11.12.2019;;;;;;;;;
486;0,161;0;03:00;11.12.2019;;;;;;;;;
487;0,161;0;03:30;11.12.2019;;;;;;;;;
488;0,161;0;04:00;11.12.2019;;;;;;;;;
489;0,161;0;04:30;11.12.2019;;;;;;;;;
